Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
Car_229,2007,1.87,15.89,70224,Petrol,Individual,Automatic,3
Car_230,2008,2.65,21.4,115859,Petrol,Individual,Manual,1
Car_231,2014,3.98,11.75,76197,Diesel,Dealer,Manual,0
Car_232,2014,9.53,28.23,29232,Petrol,Individual,Manual,1
Car_233,2014,1.09,3.1,121965,Petrol,Individual,Manual,0
Car_234,2014,4.39,13.7,142886,Petrol,Individual,Manual,0
Car_235,2006,2.06,29.09,155526,Diesel,Dealer,Manual,1
Car_236,2016,7.91,17.34,57608,Diesel,Individual,Manual,0
Car_237,2016,5.36,13.86,111695,Petrol,Individual,Manual,2
Car_238,2013,5.45,17.92,103581,Petrol,Individual,Manual,0
Car_239,2018,11.89,18.13,37168,Petrol,Individual,Manual,1
Car_240,2012,6.17,22.49,23561,Diesel,Individual,Manual,1
Car_241,2009,0.65,5.58,79752,Petrol,Individual,Manual,2
Car_242,2014,3.17,9.0,40249,Petrol,Dealer,Manual,1
Car_243,2011,3.89,18.26,131060,Diesel,Individual,Manual,1
Car_244,2009,3.57,26.28,105180,Petrol,Individual,Manual,0
Car_245,2016,8.57,17.73,148479,Diesel,Dealer,Manual,0
Car_246,2003,0.5,8.68,150349,Petrol,Individual,Manual,0
Car_247,2003,1.06,21.04,52245,Petrol,Individual,Manual,1
Car_248,2011,4.43,22.72,108964,Petrol,Dealer,Manual,0
Car_249,2013,2.34,8.67,92365,Diesel,Individual,Manual,1
Car_250,2016,6.53,12.58,112928,Diesel,Individual,Manual,0
Car_251,2011,4.26,16.96,24124,Diesel,Individual,Manual,0
Car_252,2006,1.56,15.9,23821,Petrol,Dealer,Manual,1
Car_253,2015,5.4,12.91,142060,Diesel,Individual,Manual,0
Car_254,2011,2.24,10.33,23074,Petrol,Individual,Manual,0
Car_255,2005,0.5,4.8,136812,Petrol,Individual,Manual,0
Car_256,2009,0.5,3.5,174793,Diesel,Individual,Automatic,3
Car_257,2008,2.75,28.84,142050,Petrol,Dealer,Manual,1
Car_258,2010,3.86,25.72,187217,Petrol,Individual,Manual,0
Car_259,2013,3.22,11.94,150834,Petrol,Dealer,Manual,0
Car_260,2011,5.17,28.79,119331,Petrol,Dealer,Manual,0
Car_261,2016,8.32,20.95,184368,Petrol,Individual,Manual,1
Car_262,2007,1.75,15.51,136004,Diesel,Individual,Manual,1
Car_263,2003,0.8,15.8,95757,Petrol,Individual,Manual,0
Car_264,2005,0.5,4.33,64791,Diesel,Individual,Manual,0
Car_265,2012,0.87,4.57,190971,Diesel,Individual,Manual,0
Car_266,2014,4.97,18.87,128100,Petrol,Dealer,Manual,1
Car_267,2010,2.74,17.5,50928,Petrol,Individual,Manual,1
Car_268,2017,4.38,7.96,131874,Petrol,Individual,Manual,0
Car_269,2013,9.7,28.49,131627,Diesel,Individual,Automatic,0
Car_270,2008,2.53,23.88,111817,Petrol,Dealer,Manual,0
Car_271,2018,2.71,5.18,140289,Diesel,Individual,Manual,3
Car_272,2018,16.96,28.07,127949,Petrol,Individual,Manual,0
Car_273,2010,5.04,29.28,29199,Diesel,Dealer,Manual,1
Car_274,2011,7.49,29.89,74186,Petrol,Dealer,Automatic,1
Car_275,2006,0.5,3.56,68161,Petrol,Individual,Manual,0
Car_276,2003,1.69,22.64,44747,Diesel,Individual,Automatic,0
Car_277,2016,8.8,17.29,148320,Diesel,Dealer,Manual,0
Car_278,2003,1.23,21.76,105613,Petrol,Individual,Automatic,1
Car_279,2012,9.42,29.12,5121,Diesel,Dealer,Manual,1
Car_280,2006,1.7,21.26,146606,Petrol,Individual,Manual,1
Car_281,2014,8.73,25.43,136698,Diesel,Individual,Manual,0
Car_282,2016,10.79,26.27,136694,Diesel,Individual,Manual,0
Car_283,2009,3.93,25.48,18530,Petrol,Individual,Manual,3
Car_284,2004,0.84,13.93,83338,Petrol,Individual,Manual,1
Car_285,2005,0.56,8.23,85217,Petrol,Dealer,Manual,0
Car_286,2003,0.5,13.11,187230,Petrol,Individual,Manual,3
Car_287,2007,3.27,26.97,39138,Diesel,Individual,Manual,1
Car_288,2003,0.5,6.1,67567,Petrol,Individual,Manual,0
Car_289,2010,2.68,16.37,118533,Petrol,Dealer,Manual,1
Car_290,2003,0.53,8.53,106477,Diesel,Dealer,Manual,1
Car_291,2013,3.79,18.28,89369,CNG,Dealer,Manual,1
Car_292,2003,1.49,26.17,105686,Petrol,Individual,Manual,0
Car_293,2004,1.7,26.65,35174,Petrol,Individual,Manual,0
Car_294,2004,0.5,8.63,167426,Petrol,Individual,Manual,2
Car_295,2014,10.54,27.42,46771,Petrol,Individual,Manual,0
Car_296,2008,2.61,18.57,74188,Diesel,Individual,Manual,0
Car_297,2009,1.56,11.81,170090,Petrol,Dealer,Manual,0
Car_298,2007,2.28,21.83,111576,Diesel,Individual,Manual,0
Car_299,2018,8.3,15.49,141839,Petrol,Individual,Manual,1
Car_300,2003,0.86,12.58,1562,Diesel,Individual,Manual,2
